id,key,value,type
322885236,power,Tower,regular
322885292,power,Tower,regular
322885297,power,Tower,regular
322885341,power,Tower,regular
322885662,power,Tower,regular
322885664,power,Tower,regular
322885669,power,Tower,regular
322885718,power,Tower,regular
322885732,power,Tower,regular
322885734,power,Tower,regular
322885736,power,Tower,regular
322885846,power,Tower,regular
322885962,power,Tower,regular
322886084,power,Tower,regular
322886166,power,Tower,regular
322886186,power,Tower,regular
322886716,power,Tower,regular
322886751,power,Tower,regular
322887140,power,Tower,regular
322887175,power,Tower,regular
322887224,power,Tower,regular
322887620,power,Tower,regular
322889089,power,Tower,regular
322889455,power,Tower,regular
322889458,power,Tower,regular
322889736,power,Tower,regular
322889934,power,Tower,regular
322890036,power,Tower,regular
322890064,power,Tower,regular
322890174,power,Tower,regular
322890222,power,Tower,regular
322890246,power,Tower,regular
322890305,power,Tower,regular
322890340,power,Tower,regular
322890457,power,Tower,regular
322891196,power,Tower,regular
322891258,power,Tower,regular
322891263,power,Tower,regular
322891285,power,Tower,regular
322891390,power,Tower,regular
322891391,power,Tower,regular
322891564,power,Tower,regular
322892173,power,Tower,regular
322892177,power,Tower,regular
322892303,power,Tower,regular
322892320,power,Tower,regular
322892432,power,Tower,regular
322892484,power,Tower,regular
322892501,power,Tower,regular
322892520,power,Tower,regular
322893678,power,Tower,regular
322893703,power,Tower,regular
322895922,power,Tower,regular
322896012,power,Tower,regular
322896023,power,Tower,regular
322896029,power,Tower,regular
322896058,power,Tower,regular
322896059,power,Tower,regular
322896060,power,Tower,regular
322896061,power,Tower,regular
322896073,power,Tower,regular
322896074,power,Tower,regular
322896081,power,Tower,regular
322896087,power,Tower,regular
322896092,power,Tower,regular
322896094,power,Tower,regular
322896095,power,Tower,regular
322896097,power,Tower,regular
322896106,power,Tower,regular
322896111,power,Tower,regular
322896118,power,Tower,regular
322896300,power,Tower,regular
322896512,power,Tower,regular
322896513,power,Tower,regular
322896593,power,Tower,regular
322896598,power,Tower,regular
322896601,power,Tower,regular
322896653,power,Tower,regular
322896690,power,Tower,regular
322896706,power,Tower,regular
322896707,power,Tower,regular
322896783,power,Tower,regular
322899204,power,Tower,regular
322899205,power,Tower,regular
322899207,power,Tower,regular
322900848,power,Tower,regular
322901042,power,Tower,regular
322901269,power,Tower,regular
322901633,power,Tower,regular
322901697,power,Tower,regular
322901762,power,Tower,regular
322902432,power,Tower,regular
322902446,power,Tower,regular
322902839,power,Tower,regular
322902857,power,Tower,regular
322902915,power,Tower,regular
322902917,power,Tower,regular
322903163,power,Tower,regular
322903175,power,Tower,regular
322903194,power,Tower,regular
322903254,power,Tower,regular
322903291,power,Tower,regular
322903371,power,Tower,regular
322903378,power,Tower,regular
322903423,power,Tower,regular
322903648,power,Tower,regular
322903681,power,Tower,regular
322903756,power,Tower,regular
322903772,power,Tower,regular
322903855,power,Tower,regular
322903897,power,Tower,regular
322903925,power,Tower,regular
322904036,power,Tower,regular
322904071,power,Tower,regular
322904078,power,Tower,regular
322904096,power,Tower,regular
322983248,railway,Level_Crossing,regular
322983251,railway,Level_Crossing,regular
322983346,ref,VTP,regular
322983346,name,Vastrapur,regular
322983346,railway,Station,regular
323101093,railway,Crossing,regular
323120091,ref,MAN,regular
323120091,name,Maninagar,regular
323120091,railway,Station,regular
323120091,wikidata,Q6749778,regular
323120091,wikipedia,En:Maninagar Railway Station,regular
323136073,railway,Level_Crossing,regular
323152221,railway,Level_Crossing,regular
323187605,power,Tower,regular
323188025,power,Tower,regular
323188064,power,Tower,regular
323188076,power,Tower,regular
323188077,power,Tower,regular
323188168,power,Tower,regular
323188242,power,Tower,regular
323188273,power,Tower,regular
323189766,name,Sabarmati Junction,regular
323189766,railway,Station,regular
323189766,wikidata,Q7395913,regular
323189766,wikipedia,En:Sabarmati Junction Railway Station,regular
323193216,power,Tower,regular
323193406,power,Tower,regular
323196634,power,Tower,regular
323196756,power,Tower,regular
323196772,power,Tower,regular
323196989,power,Tower,regular
323198215,power,Tower,regular
323198281,power,Tower,regular
323198995,power,Tower,regular
323199041,power,Tower,regular
323199046,power,Tower,regular
323199057,power,Tower,regular
323199128,power,Tower,regular
323199140,power,Tower,regular
323199199,power,Tower,regular
323199946,power,Tower,regular
323199971,power,Tower,regular
323199999,power,Tower,regular
323200030,power,Tower,regular
323200039,power,Tower,regular
323200049,power,Tower,regular
323200050,power,Tower,regular
323200062,power,Tower,regular
323200131,power,Tower,regular
323200161,power,Tower,regular
323200188,power,Tower,regular
323200256,power,Tower,regular
323200272,power,Tower,regular
323200330,power,Tower,regular
323200352,power,Tower,regular
323200395,power,Tower,regular
323200518,power,Tower,regular
323200563,power,Tower,regular
323200667,power,Tower,regular
323201334,power,Tower,regular
323201341,power,Tower,regular
323201353,power,Tower,regular
323201485,power,Tower,regular
323202373,power,Tower,regular
323202379,power,Tower,regular
323202484,power,Tower,regular
323202519,power,Tower,regular
323202550,power,Tower,regular
323202585,power,Tower,regular
323202725,power,Tower,regular
323202753,power,Tower,regular
323202835,power,Tower,regular
323202853,power,Tower,regular
323202877,power,Tower,regular
323202879,power,Tower,regular
323202880,power,Tower,regular
323202922,power,Tower,regular
323203014,power,Tower,regular
323203042,power,Tower,regular
323203046,power,Tower,regular
323203065,power,Tower,regular
323203072,power,Tower,regular
323204278,power,Tower,regular
323204386,power,Tower,regular
323204406,power,Tower,regular
323204421,power,Tower,regular
323204471,power,Tower,regular
323204472,power,Tower,regular
323204474,power,Tower,regular
323204475,power,Tower,regular
323204482,power,Tower,regular
323204516,power,Tower,regular
323204518,power,Tower,regular
323204520,power,Tower,regular
323204523,power,Tower,regular
323204526,power,Tower,regular
323204621,power,Tower,regular
323204625,power,Tower,regular
323204659,power,Tower,regular
323214439,power,Tower,regular
323214440,power,Tower,regular
323214474,power,Tower,regular
323214698,power,Tower,regular
323214789,power,Tower,regular
323214824,power,Tower,regular
323214868,power,Tower,regular
323214936,power,Tower,regular
323214968,power,Tower,regular
323215000,power,Tower,regular
323215165,power,Tower,regular
323215261,power,Tower,regular
323215270,power,Tower,regular
323215355,power,Tower,regular
323215434,power,Tower,regular
323215446,power,Tower,regular
323215457,power,Tower,regular
323215506,power,Tower,regular
323215577,power,Tower,regular
323215649,power,Tower,regular
323215708,power,Tower,regular
323215719,power,Tower,regular
323215721,power,Tower,regular
323215937,power,Tower,regular
323215950,power,Tower,regular
323215967,power,Tower,regular
323215987,power,Tower,regular
323216017,power,Tower,regular
323216073,power,Tower,regular
323216122,power,Tower,regular
323216446,power,Tower,regular
323216553,power,Tower,regular
323216652,power,Tower,regular
323217394,power,Tower,regular
323217668,power,Tower,regular
323217727,power,Tower,regular
323217728,power,Tower,regular
323217729,power,Tower,regular
323217730,power,Tower,regular
323217745,power,Tower,regular
323217767,power,Tower,regular
323217773,power,Tower,regular
323217826,power,Tower,regular
323218070,power,Tower,regular
323218288,power,Tower,regular
323218335,power,Tower,regular
323218374,power,Tower,regular
323218433,power,Tower,regular
323218471,power,Tower,regular
323218514,power,Tower,regular
323218531,power,Tower,regular
323218558,power,Tower,regular
323218570,power,Tower,regular
323218571,power,Tower,regular
323218575,power,Tower,regular
323218577,power,Tower,regular
323218588,power,Tower,regular
323218606,power,Tower,regular
323218657,power,Tower,regular
323219120,power,Tower,regular
323219139,power,Tower,regular
323219203,power,Tower,regular
323219250,power,Tower,regular
323219308,power,Tower,regular
323219374,power,Tower,regular
323219434,power,Tower,regular
323219473,power,Tower,regular
323219494,power,Tower,regular
323219698,power,Tower,regular
323219726,power,Tower,regular
323220001,power,Tower,regular
323220173,power,Tower,regular
323220279,power,Tower,regular
323220355,power,Tower,regular
323220473,power,Tower,regular
323220540,power,Tower,regular
323220982,power,Tower,regular
323221016,power,Tower,regular
323221041,power,Tower,regular
323221223,power,Tower,regular
323221325,power,Tower,regular
323221394,power,Tower,regular
323221413,power,Tower,regular
323222020,power,Tower,regular
323222064,power,Tower,regular
323222073,power,Tower,regular
323222330,power,Tower,regular
323222389,power,Tower,regular
323222449,power,Tower,regular
323222650,power,Tower,regular
323222739,power,Tower,regular
323222971,power,Tower,regular
323223040,power,Tower,regular
323223109,power,Tower,regular
323223203,power,Tower,regular
323223215,power,Tower,regular
323223260,power,Tower,regular
323223293,power,Tower,regular
323223304,power,Tower,regular
323223333,power,Tower,regular
323223334,power,Tower,regular
323223510,power,Tower,regular
323223511,power,Tower,regular
323223526,power,Tower,regular
323223558,power,Tower,regular
323223575,power,Tower,regular
323223603,power,Tower,regular
323223619,power,Tower,regular
323223641,power,Tower,regular
323223747,power,Tower,regular
323224061,power,Tower,regular
323224097,power,Tower,regular
323226386,power,Tower,regular
323226401,power,Tower,regular
323226474,power,Tower,regular
323226703,power,Tower,regular
323226863,power,Tower,regular
323226884,power,Tower,regular
323228311,power,Tower,regular
323228331,power,Tower,regular
323228335,power,Tower,regular
323228339,power,Tower,regular
323228387,power,Tower,regular
323228462,power,Tower,regular
323228494,power,Tower,regular
323228517,power,Tower,regular
323228543,power,Tower,regular
323228677,power,Tower,regular
323228835,power,Tower,regular
323228856,power,Tower,regular
323228885,power,Tower,regular
323228945,power,Tower,regular
323229053,power,Tower,regular
323229141,power,Tower,regular
323229149,power,Tower,regular
323229151,power,Tower,regular
323229155,power,Tower,regular
323229162,power,Tower,regular
323229204,power,Tower,regular
323229208,power,Tower,regular
323229232,power,Tower,regular
323230014,power,Tower,regular
323230082,power,Tower,regular
323230179,power,Tower,regular
323230187,power,Tower,regular
323231274,power,Tower,regular
