id,key,value,type
29492914,highway,Secondary,regular
29492920,highway,Tertiary,regular
29492920,created_by,Potlatch 0.10F,regular
29492950,highway,Unclassified,regular
29493000,name,Tragad  Gam Road,regular
29493000,highway,Tertiary,regular
29493002,layer,1,regular
29493002,bridge,Yes,regular
29493002,railway,Rail,regular
29493003,railway,Rail,regular
30391847,highway,Tertiary,regular
30392051,oneway,-1,regular
30392051,highway,Primary,regular
30392235,name,Kankaria Road,regular
30392235,oneway,Yes,regular
30392235,highway,Secondary,regular
30392318,highway,Unclassified,regular
30392427,highway,Tertiary,regular
30392657,highway,Tertiary,regular
30392806,name,Anil Strach Mill Road,regular
30392806,highway,Tertiary,regular
30392806,surface,Asphalt,regular
34616480,name,Ambli Bopal Road,regular
34616480,oneway,Yes,regular
34616480,source,Bing,regular
34616480,highway,Secondary,regular
36870960,name,Subhash Bridge,regular
36870960,layer,1,regular
36870960,bridge,Yes,regular
36870960,oneway,-1,regular
36870960,highway,Primary,regular
36870960,motorroad,No,regular
36870962,name,132 Feet Ring Road,regular
36870962,oneway,Yes,regular
36870962,highway,Primary,regular
36870962,motorroad,No,regular
36877668,name,SV Desai Marg,regular
36877668,oneway,Yes,regular
36877668,highway,Tertiary,regular
36877668,maxspeed,40,regular
36877671,highway,Unclassified,regular
36877674,name,Airport Road,regular
36877674,oneway,Yes,regular
36877674,highway,Secondary,regular
36897741,highway,Tertiary,regular
36897743,highway,Tertiary,regular
36897745,highway,Unclassified,regular
36898190,name,Gheekanta Road,regular
36898190,oneway,Yes,regular
36898190,highway,Primary,regular
36906344,highway,Unclassified,regular
36907357,highway,Unclassified,regular
36907454,highway,Tertiary,regular
36907455,highway,Unclassified,regular
36907635,name,Purshottam Malvankar Marg,regular
36907635,lanes,2,regular
36907635,highway,Tertiary,regular
36907635,surface,Asphalt,regular
36907637,highway,Unclassified,regular
36907638,highway,Unclassified,regular
36922662,highway,Tertiary,regular
36926040,highway,Unclassified,regular
36926042,highway,Tertiary,regular
36926043,highway,Tertiary,regular
36926044,highway,Tertiary,regular
36926045,highway,Unclassified,regular
36926049,highway,Unclassified,regular
36926050,highway,Unclassified,regular
36926051,highway,Unclassified,regular
36926052,highway,Unclassified,regular
36926054,highway,Unclassified,regular
36926055,highway,Unclassified,regular
36926057,highway,Unclassified,regular
36926058,highway,Unclassified,regular
36926059,highway,Unclassified,regular
36926192,highway,Unclassified,regular
36926193,highway,Unclassified,regular
36926194,highway,Tertiary,regular
36926197,highway,Tertiary,regular
36926201,highway,Tertiary,regular
36926202,highway,Tertiary,regular
36926203,highway,Tertiary,regular
36926204,highway,Unclassified,regular
36926205,highway,Unclassified,regular
36926207,highway,Unclassified,regular
36926208,highway,Unclassified,regular
36926209,highway,Tertiary,regular
36926210,highway,Unclassified,regular
36926211,highway,Tertiary,regular
36927017,highway,Tertiary,regular
36927019,highway,Tertiary,regular
36927022,highway,Tertiary,regular
36927025,highway,Tertiary,regular
